ges;S6;S4;S17;IFOMK;TR;Pene;R+K
8.713.975;0.247745489;0.491560625;0.260693885;0;0;15;64.2
868.243;0.26404889;0.474310072;0.261641038;0;0;13;67.6
905.005;0.292188109;0.456798913;0.251012978;0;0;11;66.6
9.042.822;0.285543163;0.482730612;0.231726224;0;0;11;66.6
9.456.056;0.272936412;0.505463906;0.221599682;0;0;14;67.8
960.913;0.282476665;0.499453749;0.218069586;0;0;13;69
9.629.977;0.286439313;0.495963178;0.217597508;0;0;14;68.6
9.632.273;0.302200529;0.48025383;0.217545641;0;0;13;68
960.922;0.302882544;0.479049912;0.218067543;0;0;13;68.2
9.594.913;0.302761369;0.478845926;0.218392705;0;0;14;67.2
9.806.738;0.297009566;0.489315;0.213675434;0;0;14;67.6
980.293;0.296736486;0.489505077;0.213758438;0;0;14;68.6
980.293;0.296736486;0.489505077;0.213758438;0;0;14;68.4
9.862.029;0.298966369;0.488556158;0.212477473;0;0;13;68.4
9.471.354;0.258413528;0.487231921;0.254354552;0;0;19;65.4
9.458.077;0.257372508;0.487915884;0.254711608;0;0;12;69.2
9.462.793;0.257742614;0.48767272;0.254584666;0;0;12;69
9.513.721;0.256455282;0.490322872;0.253221847;0;0;13;69
9.513.135;0.25640948;0.490353075;0.253237445;0;0;12;69.2
9.663.919;0.268011559;0.482702204;0.249286237;0;0;13;68
8.909.768;0.263010328;0.558879648;0.178110025;0;0;13;70
9.321.114;0.221598727;0.591891699;0.186509574;0;0;13;70.2
9.864.427;0.195906564;0.612546375;0.191547061;0;0;12;71.6
9.897.919;0.179867404;0.62923368;0.190898915;0;0;13;71
9.937.902;0.180841791;0.629027334;0.190130875;0;0;13;70.8
10.263.712;0.165373307;0.610942221;0.223684472;0;0;13;70.4
7.174.766;0.40437946;0.59562054;0;0;0;10;73
7.123.984;0.407262004;0.592737996;0;0;0;12;71.8
7.019.454;0.413326735;0.586673265;0;0;0;13;69.4
7.072.682;0.410216096;0.589783904;0;0;0;13;69.2
7.137.276;0.414220495;0.585779505;0;0;0;12;70
7.113.585;0.41560001;0.58439999;0;0;0;15;69
698.298;0.424212299;0.575787701;0;0;0;15;69
8.093.364;0.441675303;0.558324697;0;0;0;13;69.2
8.218.535;0.403442098;0.596557902;0;0;0;9;75.6
8.297.127;0.393942867;0.606057133;0;0;0;15;68
8.287.479;0.394401482;0.605598518;0;0;0;13;71.4
8.295.778;0.394006927;0.605993073;0;0;0;13;71.6
8.293.907;0.39409581;0.60590419;0;0;0;11;72
8.283.866;0.3945735;0.6054265;0;0;0;12;71
8.290.913;0.394238126;0.605761874;0;0;0;14;70.4
8.276.552;0.394922185;0.605077815;0;0;0;14;70
7.959.597;0.34239334;0.555915833;0.101690827;0;0;27;60.4
8.383.934;0.319947891;0.528022286;0.096730843;0.05529898;0;26;60
837.659;0.320228398;0.528485219;0.09593892;0.055347462;0;16;67
8.379.199;0.32012869;0.528320666;0.096220414;0.055330229;0;14;70.2
7.998.611;0.261988863;0.578170385;0.101584763;0.05825599;0;13;71.8
813.812;0.243990627;0.594829764;0.092960413;0.068219196;0;14;71
8.140.717;0.24391279;0.594640005;0.094113455;0.06733375;0;11;71.6
7.936.274;0.250196125;0.603590425;0.096156458;0.050056991;0;14;71
8.072.174;0.24598392;0.59342861;0.094131643;0.066455827;0;13;70.8
8.440.252;0.261859006;0.581867579;0.091051665;0.065221749;0;15;69
8.621.746;0.25843988;0.569618845;0.088560368;0.083380907;0;13;70
6.089.712;0.44444844;0.55555156;0;0;0;10;75
6.097.188;0.443903485;0.556096515;0;0;0;13;70.6
6.067.255;0.352030531;0.647969469;0;0;0;16;67.6
601.499;0.346400243;0.653599757;0;0;0;13;72
601.499;0.346400243;0.653599757;0;0;0;11;73.2
601.499;0.346400243;0.653599757;0;0;0;13;71.2
601.499;0.346400243;0.653599757;0;0;0;13;70.4
601.499;0.346400243;0.653599757;0;0;0;13;70.2
6.106.524;0.346237565;0.498697622;0;0;0.155064813;14;71.8
6.072.812;0.350975133;0.649024867;0;0;0;16;71
6.072.812;0.350975133;0.649024867;0;0;0;16;71.2
6.072.812;0.350975133;0.649024867;0;0;0;13;74.2
6.072.812;0.350975133;0.649024867;0;0;0;11;72.8
6.084.287;0.350313192;0.649686808;0;0;0;13;71.2
6.115.487;0.35440301;0.64559699;0;0;0;13;71.4
6.153.497;0.347820597;0.652179403;0;0;0;17;69.6
6.153.497;0.347820597;0.652179403;0;0;0;14;71.8
6.104.981;0.342637758;0.657362242;0;0;0;13;72.6
6.054.932;0.345469941;0.654530059;0;0;0;13;71.6
6.055.176;0.34545602;0.65454398;0;0;0;12;72.4
